gender,positive_counts,positive_percentage,negative_counts,negative_percentage
Female,358,0.06838586437440305,2166.0,0.41375358166189113
Male,272,0.05195797516714422,1242.0,0.23724928366762177
No Gender Listed,23,0.004393505253104107,1173.0,0.22406876790830946
Nonbinary,1,0.00019102196752626553,0.0,0.0
