book,bookLabel,authorLabel,genres,firstPublication,sco_uri
http://www.wikidata.org/entity/Q726382,The Interpretation of Dreams,Sigmund Freud,,1899-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/freud-interpretation-dreams/
http://www.wikidata.org/entity/Q4193654,The Little Nugget,P. G. Wodehouse,novel,1914-02-10 00:00:00,https://shakespeareandco.princeton.edu/books/wodehouse-little-nugget/
http://www.wikidata.org/entity/Q78289676,The Night-Born,Jack London,,1911-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/london-night-born/
http://www.wikidata.org/entity/Q459592,Dubliners,James Joyce,,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/joyce-dubliners/
http://www.wikidata.org/entity/Q7057510,North of Boston,Robert Frost,,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/frost-north-boston/
http://www.wikidata.org/entity/Q7062617,Notes of a Son and Brother,Henry James,autobiography,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/james-notes-brother/
http://www.wikidata.org/entity/Q7524438,Sinister Street,Compton Mackenzie,novel,,https://shakespeareandco.princeton.edu/books/mackenzie-sinister-street/
http://www.wikidata.org/entity/Q461760,Spoon River Anthology,Edgar Lee Masters,epitaph,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/masters-spoon-river-anthology/
http://www.wikidata.org/entity/Q7699617,Tender Buttons,Gertrude Stein,,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/stein-tender-buttons/
http://www.wikidata.org/entity/Q7734598,The Flying Inn,G. K. Chesterton,political novel;speculative fiction;science fiction novel,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/chesterton-flying-inn/
http://www.wikidata.org/entity/Q7758649,The Prussian Officer and Other Stories,D. H. Lawrence,short story,1916-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/lawrence-prussian-officer-stories/
http://www.wikidata.org/entity/Q27592,The Psychopathology of Everyday Life,Sigmund Freud,psychoanalysis,1901-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/freud-psychopathology-everyday-life/
http://www.wikidata.org/entity/Q4458189,The Titan,Theodore Dreiser,novel,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/dreiser-titan/
http://www.wikidata.org/entity/Q19881660,Vandover and the Brute,Frank Norris,novel,1914-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/norris-vandover-brute/
http://www.wikidata.org/entity/Q19019291,1914 and Other Poems,Rupert Brooke,poetry,,https://shakespeareandco.princeton.edu/books/brooke-1914-poems/
http://www.wikidata.org/entity/Q16239161,Boon,H. G. Wells,,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/wells-boon/
http://www.wikidata.org/entity/Q5246853,Dear Enemy,Jean Webster,epistolary novel,1915-01-01 00:00:00,https://shakespeareandco.princeton.edu/books/webster-dear-enemy/
