uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated,id,exceptional_types,exceptional_counts,original_uri
stern-man-loved,The Man Who Was Loved,"Stern, James",,,,,,1951.0,Book,False,,,,1,1,0,1961,2020-04-30T19:40:14+00:00,stern-man-loved,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/stern-man-loved/
fitzgerald-short-stories-f,The Short Stories of F. Scott Fitzgerald,"Fitzgerald, F. Scott",,,"Cowley, Malcolm",,,1951.0,Book,False,,,,2,2,0,1958,2020-06-03T12:02:44+00:00,fitzgerald-short-stories-f,['post1942_events'],[2],https://shakespeareandco.princeton.edu/books/fitzgerald-short-stories-f/
porter-day,The Day Before,"Porter, Katherine Anne",,,,,,1952.0,Book,False,,,,1,1,0,1955,2020-06-28T02:06:42+00:00,porter-day,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/porter-day/
bryher-fourteenth-october,The Fourteenth of October,Bryher,,,,,,1952.0,Book,False,,,,2,2,0,1952;1953,2020-04-30T19:40:18+00:00,bryher-fourteenth-october,['post1942_events'],[2],https://shakespeareandco.princeton.edu/books/bryher-fourteenth-october/
bryher-players-boy,The Player's Boy,Bryher,,,,,,1953.0,Book,False,,,,1,1,0,1953,2020-04-30T19:40:16+00:00,bryher-players-boy,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/bryher-players-boy/
streeter-mr-hobbs-vacation,Mr. Hobbs' Vacation,"Streeter, Edward",,,,,,1954.0,Book,False,,,,1,1,0,1961,2020-04-30T19:40:17+00:00,streeter-mr-hobbs-vacation,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/streeter-mr-hobbs-vacation/
huxley-doors-perception,The Doors of Perception,"Huxley, Aldous",,,,,,1954.0,Book,False,,,,1,1,0,1958,2020-04-30T19:40:14+00:00,huxley-doors-perception,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/huxley-doors-perception/
graves-homers-daughter,Homer's Daughter,"Graves, Robert",,,,,,1955.0,Book,False,,,,1,1,0,1958,2020-04-30T19:40:16+00:00,graves-homers-daughter,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/graves-homers-daughter/
nabokov-lolita,Lolita,"Nabokov, Vladimir",,,,,,1955.0,Book,False,https://archive.org/details/in.ernet.dli.2015.68292/page/n3/mode/2up,,,1,1,0,1961,2021-10-26T00:13:18.046005+00:00,nabokov-lolita,['post1942_events'],[1],https://shakespeareandco.princeton.edu/books/nabokov-lolita/
ohara-ten-north-frederick,Ten North Frederick,"O'Hara, John",,,,,,1955.0,Book,False,,,,1,1,0,1958,2020-04-30T19:40:17+00:00,ohara-ten-north-frederick,"['post1942_events', 'unknown_borrows']","[1, 1]",https://shakespeareandco.princeton.edu/books/ohara-ten-north-frederick/
