item_id,term,type,source
richardson-clarissa-history-young,Conflict of generations,subject,loc
richardson-clarissa-history-young,Rape victims,subject,loc
smollett-adventures-roderick-random,Fiction,genre,loc
smollett-adventures-roderick-random,Sea stories,genre,loc
smollett-adventures-roderick-random,bibliography,genre,loc
smollett-adventures-roderick-random,Rogues and vagabonds,subject,loc
smollett-adventures-roderick-random,Warships,subject,loc
smollett-adventures-roderick-random,Scots,subject,loc
smollett-adventures-roderick-random,Sailors,subject,loc
smollett-adventures-roderick-random,Impressment,subject,loc
nugent-grand-tour,Description and travel,subject,loc
fielding-history-tom-jones,Fiction,genre,loc
fielding-history-tom-jones,Bildungsromans.,genre,loc
fielding-history-tom-jones,Humorous fiction.,genre,loc
fielding-history-tom-jones,Foundlings,subject,loc
fielding-history-tom-jones,Identity (Psychology),subject,loc
fielding-history-tom-jones,Young men,subject,loc
fielding-amelia,Didactic fiction.,genre,loc
fielding-amelia,Domestic fiction.,genre,loc
fielding-amelia,Married women,subject,loc
fielding-amelia,Fiction,subject,loc
paltock-life-adventures-peter,Adventure stories.,genre,loc
voltaire-candide,bibliography,genre,loc
voltaire-candide,Imaginary letters,subject,loc
voltaire-candide,"Philosophy, Modern",subject,loc
voltaire-candide,Translations into English,subject,loc
voltaire-candide,Civilization,subject,loc
sterne-life-opinions-tristram,bibliography,genre,loc
sterne-life-opinions-tristram,Experimental fiction.,genre,loc
sterne-life-opinions-tristram,Fiction,genre,loc
sterne-life-opinions-tristram,Stream of consciousness fiction.,genre,loc
sterne-life-opinions-tristram,Fiction,subject,loc
sterne-life-opinions-tristram,Fetus,subject,loc
sterne-life-opinions-tristram,Infants,subject,loc
smollett-life-adventures-sir,Fiction,genre,loc
smollett-life-adventures-sir,bibliography,genre,loc
smollett-life-adventures-sir,text,genre,loc
smollett-life-adventures-sir,government publication,genre,loc
smollett-life-adventures-sir,Knights and knighthood,subject,loc
smollett-life-adventures-sir,Mentally ill,subject,loc
smollett-life-adventures-sir,Quests (Expeditions),subject,loc
rousseau-emile-education,bibliography,genre,loc
rousseau-emile-education,Education,subject,loc
collins-poetical-works-william,biography,genre,loc
collins-poetical-works-william,bibliography,genre,loc
goldsmith-vicar-wakefield,Domestic fiction.,genre,loc
goldsmith-vicar-wakefield,Fiction,genre,loc
goldsmith-vicar-wakefield,Abduction,subject,loc
goldsmith-vicar-wakefield,Poor families,subject,loc
goldsmith-vicar-wakefield,Prisoners,subject,loc
goldsmith-vicar-wakefield,Clergy,subject,loc
goldsmith-vicar-wakefield,Children of clergy,subject,loc
paine-common-sense,Early works to 1800,genre,loc
paine-common-sense,text,genre,loc
paine-common-sense,Human rights,subject,loc
paine-common-sense,Political science,subject,loc
gibbon-history-decline-fall,bibliography,genre,loc
gibbon-history-decline-fall,History,subject,loc
burney-evelina-history-young,Epistolary fiction.,genre,loc
burney-evelina-history-young,Satire.,genre,loc
burney-evelina-history-young,Bildungsromans.,genre,loc
burney-evelina-history-young,Humorous fiction.,genre,loc
burney-evelina-history-young,Love stories.,genre,loc
burney-evelina-history-young,Fiction,genre,loc
burney-evelina-history-young,Socialites,subject,loc
burney-evelina-history-young,Young women,subject,loc
burney-evelina-history-young,Debutantes,subject,loc
lempriere-classical-dictionary-containing,Classical dictionaries,subject,loc
boswell-life-samuel-johnson,biography,genre,loc
radcliffe-mysteries-udolpho,bibliography,genre,loc
radcliffe-mysteries-udolpho,Horror fiction.,genre,loc
radcliffe-mysteries-udolpho,Fiction,genre,loc
radcliffe-mysteries-udolpho,Gothic fiction.,genre,loc
radcliffe-mysteries-udolpho,Young women,subject,loc
radcliffe-mysteries-udolpho,Inheritance and succession,subject,loc
radcliffe-mysteries-udolpho,Orphans,subject,loc
radcliffe-mysteries-udolpho,Castles,subject,loc
radcliffe-mysteries-udolpho,Guardian and ward,subject,loc
foster-coquette-history-eliza,Biographical fiction.,genre,loc
foster-coquette-history-eliza,bibliography,genre,loc
foster-coquette-history-eliza,Historical fiction.,genre,loc
foster-coquette-history-eliza,text,genre,loc
foster-coquette-history-eliza,Fiction,genre,loc
foster-coquette-history-eliza,FICTION / Classics,subject,loc
foster-coquette-history-eliza,LITERARY COLLECTIONS / American / General,subject,loc
godwin-memoirs-mary-wollstonecraft,biography,genre,loc
