id,0,1
austen-emma,"['overborrows', 'sunday_shopers', 'unknown_borrows']","[2, 1, 1]"
austen-leigh-jane-austen-life,['post1942_events'],[1]
austen-letters-jane-austen,['post1942_events'],[1]
austen-sense-sensibility,['overborrows'],[2]
babbitt-criticism-america-function,['overborrows'],[2]
babbitt-rousseau-romanticism,['overborrows'],[1]
bacon-essays-counsels-civil,['overborrows'],[2]
bacon-physical-metaphysical-works,['unknown_borrows'],[1]
bacot-three-tibetan-mysteries,['unknown_borrows'],[1]
bagnold-national-velvet,"['overborrows', 'unknown_borrows']","[5, 1]"
bagnold-squire,['overborrows'],[1]
bailey-black-land-white,['overborrows'],[4]
bailey-fortune,['overborrows'],[4]
bailey-mr-fortune,['unknown_borrows'],[1]
bailey-mr-fortune-please,['overborrows'],[1]
bailey-sullen-sky-mystery,['overborrows'],[3]
baker-fighting-life,['overborrows'],[1]
baker-modern-american-plays,['overborrows'],[1]
baker-young-man-horn,"['overborrows', 'post1942_events']","[1, 1]"
ball-swifts-verse-essay,"['overborrows', 'sunday_shopers']","[1, 1]"
ballantyne-ungava,['post1942_events'],[1]
balzac-eugenie-grandet,['overborrows'],[1]
bamford-dear-miss-heber,['overborrows'],[1]
barbey-daurevilly-diaboliques,['overborrows'],[1]
baring-c,"['overborrows', 'unknown_borrows']","[2, 1]"
baring-cats-cradle,"['overborrows', 'sunday_shopers']","[1, 1]"
baring-coat-without-seam,['overborrows'],[1]
baring-comfortless-memory,['overborrows'],[1]
baring-daphne-adeane,['overborrows'],[1]
baring-darby-joan,['unknown_borrows'],[1]
baring-end-beginning,"['post1942_events', 'unknown_borrows']","[1, 1]"
baring-fridays-business,['overborrows'],[2]
baring-triangle-passages-three,['overborrows'],[1]
barker-alanna-autumnal,['unknown_borrows'],[1]
barnes-book,"['overborrows', 'sunday_shopers']","[1, 1]"
barnes-nightwood,['overborrows'],[3]
barnes-ryder,['overborrows'],[1]
barrie-admirable-crichton,['overborrows'],[2]
barrie-auld-licht-idylls,['unknown_borrows'],[1]
barrie-boy-david-play,"['overborrows', 'unknown_borrows']","[1, 1]"
barrie-half-hours,"['overborrows', 'sunday_shopers']","[1, 1]"
barrie-kiss-cinderella,['overborrows'],[3]
barrie-peter-pan,['overborrows'],[1]
barrie-peter-wendy,['overborrows'],[1]
barton-sober-truth-collection,['overborrows'],[2]
bashford-behind-fog,['overborrows'],[1]
bates-cut-come-fourteen,['overborrows'],[1]
bates-new-stories,['unknown_borrows'],[1]
bates-poacher,['overborrows'],[1]
bates-woman-imagination-stories,['overborrows'],[1]
baum-grand-hotel,['overborrows'],[1]
baum-helene,['overborrows'],[1]
baum-secret-sentence,['overborrows'],[3]
beach-shakespeare-company,['post1942_events'],[2]
beach-twentieth-century-novel,"['overborrows', 'sunday_shopers', 'unknown_borrows']","[2, 1, 1]"
beals-coming-struggle-latin,['post1942_events'],[1]
beals-mexican-maze,['overborrows'],[1]
beasley-first-thirty-years,['overborrows'],[1]
beaumont-beaumont-fletcher,"['longterm_borrows', 'overborrows']","[1, 1]"
beer-mauve-decade,['overborrows'],[2]
beer-stephen-crane-study,['unknown_borrows'],[1]
beerbohm-christmas-garland,['overborrows'],[1]
beerbohm-even-now,['overborrows'],[2]
beerbohm-zuleika-dobson,['overborrows'],[6]
beesly-queen-elizabeth,"['post1942_events', 'unknown_borrows']","[2, 1]"
behn-novels-mrs-aphra,['overborrows'],[1]
beith-second-spring,['overborrows'],[1]
bell-hamwood-papers-ladies,['overborrows'],[2]
bell-safar-nameh-persian,['overborrows'],[1]
belloc-charles-first-king,['overborrows'],[1]
belloc-marie-antoinette,['overborrows'],[1]
belloc-mercy-allah,['overborrows'],[1]
belloc-monarchy,['overborrows'],[1]
belloc-richelieu-study,['overborrows'],[1]
ben-jonson,['overborrows'],[2]
benchley-bed-worse,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 2, 1]"
benchley-ten-years-quandary,['overborrows'],[2]
bennett-anna-five-towns,['overborrows'],[2]
bennett-body-soul-play,['overborrows'],[1]
bennett-buried-alive,['overborrows'],[3]
bennett-card-story-adventure,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 1, 1]"
bennett-clayhanger,['overborrows'],[1]
bennett-elsie-child-stories,['overborrows'],[1]
bennett-glimpse-adventure-soul,['overborrows'],[1]
bennett-helen-high-hand,"['post1942_events', 'unknown_borrows']","[1, 1]"
bennett-honeymoon-comedy-three,['overborrows'],[1]
bennett-journals-arnold-bennett,['overborrows'],[2]
bennett-lillian,['overborrows'],[2]
bennett-lord-raingo,"['overborrows', 'sunday_shopers']","[1, 1]"
bennett-love-match-play,['overborrows'],[1]
bennett-man-north,['overborrows'],[1]
bennett-married-life,['overborrows'],[2]
bennett-matador-five-towns,['overborrows'],[1]
bennett-old-wives-tale,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 1, 1]"
bennett-pretty-lady,"['overborrows', 'post1942_events']","[1, 1]"
bennett-riceyman-steps,['overborrows'],[1]
bennett-strange-vanguard-fantasia,['overborrows'],[1]
bennett-things-interested,['overborrows'],[1]
bennett-things-interested-second,"['overborrows', 'sunday_shopers']","[1, 1]"
bennett-united-states,"['post1942_events', 'unknown_borrows']","[1, 1]"
bennett-woman-stole-everything,"['overborrows', 'sunday_shopers']","[2, 1]"
benson-goodbye-stranger,['overborrows'],[1]
benson-little-world,"['overborrows', 'unknown_borrows']","[1, 1]"
benson-pipers-dancer,['overborrows'],[1]
benson-pull-devil-pull,"['overborrows', 'sunday_shopers']","[1, 1]"
benson-sentimentalists,['overborrows'],[1]
benson-tobit-transplanted,"['overborrows', 'post1942_events']","[6, 1]"
benson-worlds-within-worlds,['post1942_events'],[1]
bentley-freedom-farewell,['overborrows'],[1]
bentley-inheritance,"['overborrows', 'sunday_shopers']","[4, 2]"
bentley-modern-tragedy,['overborrows'],[1]
bentley-sleep-peace,['overborrows'],[1]
bentley-trent-intervenes,['overborrows'],[2]
bentley-trents-case,['overborrows'],[3]
bentley-whole-story,"['overborrows', 'post1942_events']","[1, 1]"
beowulf,['post1942_events'],[1]
bercovici-story-gypsies,['unknown_borrows'],[1]
beresford-candidate-truth,['overborrows'],[1]
beresford-imperfect-mother,['overborrows'],[1]
beresford-imperturbable-duchess-stories,['overborrows'],[1]
beresford-meeting-place-stories,['overborrows'],[1]
beresford-peckover,['overborrows'],[1]
beresford-snells-folly,['overborrows'],[2]
beresford-unity,['overborrows'],[1]
berkeley-taken,['overborrows'],[4]
bernstein-affaire-jones,['unknown_borrows'],[1]
best-adventure-story,['overborrows'],[3]
best-crime-stories,['unknown_borrows'],[1]
best-mystery-stories,['overborrows'],[3]
bianchi-life-letters-emily,"['overborrows', 'unknown_borrows']","[1, 1]"
bibesco-blame,['overborrows'],[1]
bibesco-katia,['overborrows'],[1]
bibesco-portrait-caroline,['overborrows'],[2]
bierce-can-things,['overborrows'],[1]
biggers-celebrated-cases-charlie,['overborrows'],[2]
birmingham-majors-candlesticks,['overborrows'],[1]
biron-memoirs-duc-lauzun,['overborrows'],[1]
black-goldsmith,['overborrows'],[1]
blake-blakes-works,"['overborrows', 'sunday_shopers', 'unknown_borrows']","[3, 1, 1]"
blunden-near-far-new,['sunday_shopers'],[1]
boas-marlowe-circle,['overborrows'],[1]
boas-short-modern-plays,"['post1942_events', 'unknown_borrows']","[1, 1]"
bojer-god-woman,['overborrows'],[1]
boleslavski-lances-fires-moscow,['overborrows'],[1]
borden-action-slander,"['overborrows', 'post1942_events']","[3, 1]"
borden-passport-girl,['overborrows'],[2]
borrow-celebrated-trials-remarkable,['overborrows'],[1]
borrow-lavengro-scholar-gypsy,['overborrows'],[1]
borrow-romano-lavo-lil,['overborrows'],[1]
borrow-romany-rye,['overborrows'],[1]
borrow-zincali-account-gypsies,['unknown_borrows'],[1]
bosanquet-days-attica,['overborrows'],[1]
boswell-life-samuel-johnson,['overborrows'],[4]
boswell-shorter-boswell,['post1942_events'],[2]
bott-mothers-cavalcade-pictures,['overborrows'],[1]
bottome-mortal-storm,"['overborrows', 'post1942_events']","[1, 1]"
bottome-murder-bud,"['overborrows', 'sunday_shopers']","[4, 1]"
bouchor-contes-transcrits,['post1942_events'],[1]
bowen-death-heart,"['overborrows', 'post1942_events', 'sunday_shopers', 'unknown_borrows']","[7, 1, 1, 1]"
bowen-faber-book-modern,['overborrows'],[4]
bowen-house-paris,"['overborrows', 'unknown_borrows']","[2, 1]"
bowen-north,['overborrows'],[2]
bowman-story-lewis-carroll,['unknown_borrows'],[1]
boyd-contemporary-drama-ireland,['overborrows'],[2]
boyd-irelands-literary-renaissance,['overborrows'],[2]
boyle-crazy-hunter-three,['overborrows'],[3]
boyle-death-man,"['overborrows', 'sunday_shopers']","[3, 1]"
boyle-first-lover-stories,['overborrows'],[2]
boyle-gentlemen-address-privately,['overborrows'],[2]
boyle-glad-day,['post1942_events'],[1]
boyle-next-bride,"['overborrows', 'post1942_events']","[3, 1]"
boyle-plagued-nightingale,"['overborrows', 'sunday_shopers', 'unknown_borrows']","[5, 1, 1]"
boyle-wedding-day-stories,['overborrows'],[1]
boyle-white-horses-vienna,['overborrows'],[2]
boyle-year-last,['overborrows'],[2]
bradbrook-eliot,"['post1942_events', 'unknown_borrows']","[1, 1]"
bradby-psycho-analysis-place,"['overborrows', 'unknown_borrows']","[2, 1]"
bradley-shakespearean-tragedy-lectures,['overborrows'],[1]
brailsford-shelley-godwin-circle,['overborrows'],[1]
braine-vodi,"['post1942_events', 'unknown_borrows']","[1, 1]"
brandes-main-currents-nineteenth,['overborrows'],[3]
brandon-young-love,['overborrows'],[2]
breasted-ancient-times-history,['overborrows'],[1]
breton-surrealism,['overborrows'],[2]
brett-lawrence-brett-friendship,['overborrows'],[2]
breuer-memory-love,['overborrows'],[2]
brewster-h-lawrence-reminiscences,['overborrows'],[1]
brewster-modern-fiction,['overborrows'],[1]
bridge-enchanters-nightshade,['overborrows'],[7]
bridge-four-part-setting,['overborrows'],[2]
bridge-ginger-griffin,['overborrows'],[2]
bridge-illyrian-spring,['overborrows'],[2]
bridges-miltons-prosody,['overborrows'],[1]
bridges-poetical-works,"['overborrows', 'unknown_borrows']","[1, 1]"
bridges-shorter-poems,['overborrows'],[2]
bridges-testament-beauty-poem,['unknown_borrows'],[1]
briffault-europa-days-ignorance,['overborrows'],[3]
brinig-sisters,['overborrows'],[1]
british-agriculture,['overborrows'],[1]
brittain-honourable-estate-novel,['unknown_borrows'],[1]
brittain-testament-friendship,['overborrows'],[2]
brittain-testament-youth,['overborrows'],[1]
bromfield-farm,['overborrows'],[4]
bromfield-good-woman,['overborrows'],[3]
bromfield-modern-hero,['overborrows'],[2]
bromfield-twenty-four-hours,['overborrows'],[1]
bronte-agnes-grey,['overborrows'],[2]
bronte-complete-poems-emily,['overborrows'],[1]
bronte-jane-eyre,['overborrows'],[4]
bronte-poems-emily-bronte,['overborrows'],[2]
bronte-professor,['unknown_borrows'],[1]
bronte-tenant-wildfell-hall,['overborrows'],[1]
bronte-villette,['overborrows'],[3]
bronte-wuthering-heights,"['overborrows', 'sunday_shopers']","[6, 1]"
bronte-wuthering-heights-agnes,['overborrows'],[1]
brooks-american-caravan-yearbook,['overborrows'],[1]
brooks-emerson-others,['overborrows'],[2]
brooks-flowering-new-england,"['overborrows', 'unknown_borrows']","[2, 1]"
brooks-life-emerson,['overborrows'],[1]
brooks-wine-puritans,"['overborrows', 'unknown_borrows']","[1, 1]"
brown-body-bedford-square,['overborrows'],[1]
brown-h-g-wells,['overborrows'],[1]
brown-mr-pinkerton-finds,['overborrows'],[4]
brown-mr-pinkerton-grows,['overborrows'],[2]
browne-may-week-murders,['overborrows'],[4]
browne-religio-medici,['overborrows'],[1]
browne-sir-thomas-brownes,['overborrows'],[1]
browne-vulgar-errors-pseudodoxia,"['overborrows', 'sunday_shopers']","[1, 1]"
browning-letters-robert-browning,"['post1942_events', 'unknown_borrows']","[1, 1]"
browning-poetical-works-elizabeth,['overborrows'],[1]
brownings-works,"['post1942_events', 'unknown_borrows']","[1, 1]"
bryher-fourteenth-october,['post1942_events'],[2]
bryher-heart-artemis-writers,['post1942_events'],[1]
bryher-players-boy,['post1942_events'],[1]
bryner-bridegroom-tarried,['overborrows'],[1]
buchan-castle-gay,['overborrows'],[1]
buchan-dancing-floor,['overborrows'],[1]
buchan-gap-curtain,['overborrows'],[1]
buchan-house-four-winds,['overborrows'],[3]
buchan-huntingtower,['overborrows'],[1]
buck-case-foreign-missions,['overborrows'],[1]
buck-east-wind-west,['overborrows'],[1]
buck-exile,['overborrows'],[2]
buck-fighting-angel,"['overborrows', 'unknown_borrows']","[1, 1]"
buck-first-wife-stories,['overborrows'],[1]
buck-gods-american-legend,['overborrows'],[3]
buck-good-earth,['overborrows'],[7]
buck-house-divided,['overborrows'],[1]
buck-mother,['unknown_borrows'],[2]
buck-patriot,"['overborrows', 'post1942_events', 'sunday_shopers']","[8, 2, 1]"
buck-sons,['overborrows'],[4]
budgen-james-joyce-making,"['overborrows', 'sunday_shopers']","[2, 1]"
buffalo-child-long-lance-long-lance,['overborrows'],[2]
bulwer-lytton-rienzi-last-roman,['overborrows'],[1]
bunyan-pilgrims-progress,['overborrows'],[1]
burdett-two-carlyles,['overborrows'],[1]
burke-limehouse-nights-tales,['overborrows'],[1]
burke-nights-town,['overborrows'],[1]
burnett-little-lord-fauntleroy,['post1942_events'],[1]
burnett-sara-crewe-happened,"['overborrows', 'post1942_events']","[1, 1]"
burnett-story,['overborrows'],[1]
burnett-story-anthology-1931,['overborrows'],[2]
burney-diary-fanny-burney,['overborrows'],[2]
burney-diary-letters-madame,['overborrows'],[3]
burney-evelina-history-young,['overborrows'],[1]
burney-story-fanny-burney,['overborrows'],[5]
burnham-symposium-critical-review,['overborrows'],[3]
burroughs-whitman-study,['overborrows'],[1]
bury-invasion-europe-barbarians,['sunday_shopers'],[1]
bush-case-missing-minutes,['overborrows'],[2]
bush-wedding-night-murder,"['overborrows', 'sunday_shopers']","[6, 1]"
butler-alps-sanctuaries-piedmont,['overborrows'],[1]
butler-erewhon-revisited-twenty,['overborrows'],[2]
butler-hudibras,['unknown_borrows'],[1]
butler-humour-homer-essays,['unknown_borrows'],[1]
butler-note-books-samuel,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 1, 1]"
butler-vie-habitude,"['post1942_events', 'sunday_shopers']","[1, 1]"
butler-way-flesh,['overborrows'],[6]
butts-armed-madness,['overborrows'],[5]
butts-ashe-rings,['overborrows'],[2]
butts-crystal-cabinet,['overborrows'],[4]
butts-last-stories,"['overborrows', 'unknown_borrows']","[1, 1]"
butts-macedonian,['overborrows'],[1]
butts-several-occasions,['overborrows'],[3]
butts-traps-unbelievers,['overborrows'],[1]
byrne-hangmans-house,['overborrows'],[1]
byron,['overborrows'],[1]
byron-byrons-works,"['post1942_events', 'unknown_borrows']","[1, 1]"
byron-don-juan,['overborrows'],[2]
byron-lord-byrons-correspondence,['overborrows'],[2]
cabell-jurgen-comedy-justice,['overborrows'],[2]
cain-serenade,['overborrows'],[1]
calder-marshall-dead-centre,"['overborrows', 'post1942_events', 'unknown_borrows']","[1, 2, 1]"
calder-marshall-pie-sky,"['overborrows', 'unknown_borrows']","[6, 1]"
calder-marshall-way-santiago,['overborrows'],[1]
caldwell-american-people,['overborrows'],[1]
caldwell-dynasty-death,['unknown_borrows'],[1]
caldwell-eagles-gather,['overborrows'],[1]
caldwell-gods-little-acre,['overborrows'],[4]
caldwell-journeyman,['overborrows'],[3]
caldwell-living,['overborrows'],[1]
caldwell-seen-faces,['overborrows'],[1]
caldwell-southways-stories,['overborrows'],[3]
caldwell-tobacco-road,['overborrows'],[1]
callaghan-broken-journey,['overborrows'],[1]
callaghan-shall-inherit-earth,['overborrows'],[1]
calmer-proletarian-literature-united,"['overborrows', 'post1942_events', 'unknown_borrows']","[2, 1, 1]"
canby-saturday-review-literature,"['overborrows', 'unknown_borrows']","[1, 9]"
cannan-house-prophecy,['overborrows'],[1]
cannan-stucco-house,['overborrows'],[1]
capek-letters-england,['post1942_events'],[1]
carlyle-essays-goethe,['overborrows'],[1]
carlyle-letters-thomas-carlyle,['overborrows'],[1]
carlyle-love-letters-thomas,['overborrows'],[1]
carlyle-past-present,['overborrows'],[1]
carlyle-sartor-resartus,['overborrows'],[1]
carolino-english-spoke-jest,['unknown_borrows'],[1]
carr-death-five-boxes,"['overborrows', 'sunday_shopers']","[3, 1]"
carr-drop-death,"['overborrows', 'sunday_shopers']","[7, 1]"
carr-judas-window,['overborrows'],[4]
carr-magic-lantern-murders,['sunday_shopers'],[1]
carr-problem-green-capsule,['overborrows'],[4]
carr-punch-judy-murders,['overborrows'],[2]
carr-reader-warned,['overborrows'],[2]
carr-romantic-exiles-nineteenth,['overborrows'],[1]
carr-wake-dead,['overborrows'],[3]
carr-walks-night,['overborrows'],[1]
carr-white-priory-murders,['overborrows'],[1]
carroll-alices-adventures-wonderland,['overborrows'],[4]
carroll-earth-turns,"['overborrows', 'post1942_events']","[2, 1]"
