,id,type,counts
156,austen-leigh-jane-austen-life,post1942_events,1
157,austen-letters-jane-austen,post1942_events,1
158,austen-sense-sensibility,overborrows,2
159,babbitt-criticism-america-function,overborrows,2
160,babbitt-rousseau-romanticism,overborrows,1
161,bacon-essays-counsels-civil,overborrows,2
162,bacon-physical-metaphysical-works,unknown_borrows,1
163,bacot-three-tibetan-mysteries,unknown_borrows,1
164,bagnold-national-velvet,overborrows,5
165,bagnold-national-velvet,unknown_borrows,1
166,bagnold-squire,overborrows,1
167,bailey-black-land-white,overborrows,4
168,bailey-fortune,overborrows,4
169,bailey-mr-fortune,unknown_borrows,1
170,bailey-mr-fortune-please,overborrows,1
171,bailey-sullen-sky-mystery,overborrows,3
172,baker-fighting-life,overborrows,1
173,baker-modern-american-plays,overborrows,1
174,baker-young-man-horn,overborrows,1
175,baker-young-man-horn,post1942_events,1
176,ball-swifts-verse-essay,overborrows,1
177,ball-swifts-verse-essay,sunday_shopers,1
178,ballantyne-ungava,post1942_events,1
179,balzac-eugenie-grandet,overborrows,1
180,bamford-dear-miss-heber,overborrows,1
181,barbey-daurevilly-diaboliques,overborrows,1
182,baring-c,overborrows,2
183,baring-c,unknown_borrows,1
184,baring-cats-cradle,overborrows,1
185,baring-cats-cradle,sunday_shopers,1
186,baring-coat-without-seam,overborrows,1
187,baring-comfortless-memory,overborrows,1
188,baring-daphne-adeane,overborrows,1
189,baring-darby-joan,unknown_borrows,1
190,baring-end-beginning,post1942_events,1
191,baring-end-beginning,unknown_borrows,1
192,baring-fridays-business,overborrows,2
193,baring-triangle-passages-three,overborrows,1
194,barker-alanna-autumnal,unknown_borrows,1
195,barnes-book,overborrows,1
196,barnes-book,sunday_shopers,1
197,barnes-nightwood,overborrows,3
198,barnes-ryder,overborrows,1
199,barrie-admirable-crichton,overborrows,2
200,barrie-auld-licht-idylls,unknown_borrows,1
201,barrie-boy-david-play,overborrows,1
202,barrie-boy-david-play,unknown_borrows,1
203,barrie-half-hours,overborrows,1
204,barrie-half-hours,sunday_shopers,1
205,barrie-kiss-cinderella,overborrows,3
206,barrie-peter-pan,overborrows,1
207,barrie-peter-wendy,overborrows,1
208,barton-sober-truth-collection,overborrows,2
209,bashford-behind-fog,overborrows,1
210,bates-cut-come-fourteen,overborrows,1
211,bates-new-stories,unknown_borrows,1
212,bates-poacher,overborrows,1
213,bates-woman-imagination-stories,overborrows,1
214,baum-grand-hotel,overborrows,1
215,baum-helene,overborrows,1
216,baum-secret-sentence,overborrows,3
217,beach-shakespeare-company,post1942_events,2
218,beach-twentieth-century-novel,overborrows,2
219,beach-twentieth-century-novel,sunday_shopers,1
220,beach-twentieth-century-novel,unknown_borrows,1
221,beals-coming-struggle-latin,post1942_events,1
222,beals-mexican-maze,overborrows,1
223,beasley-first-thirty-years,overborrows,1
224,beaumont-beaumont-fletcher,longterm_borrows,1
225,beaumont-beaumont-fletcher,overborrows,1
226,beer-mauve-decade,overborrows,2
227,beer-stephen-crane-study,unknown_borrows,1
228,beerbohm-christmas-garland,overborrows,1
229,beerbohm-even-now,overborrows,2
230,beerbohm-zuleika-dobson,overborrows,6
231,beesly-queen-elizabeth,post1942_events,2
232,beesly-queen-elizabeth,unknown_borrows,1
233,behn-novels-mrs-aphra,overborrows,1
234,beith-second-spring,overborrows,1
235,bell-hamwood-papers-ladies,overborrows,2
236,bell-safar-nameh-persian,overborrows,1
237,belloc-charles-first-king,overborrows,1
238,belloc-marie-antoinette,overborrows,1
239,belloc-mercy-allah,overborrows,1
240,belloc-monarchy,overborrows,1
241,belloc-richelieu-study,overborrows,1
242,ben-jonson,overborrows,2
243,benchley-bed-worse,overborrows,1
244,benchley-bed-worse,post1942_events,2
245,benchley-bed-worse,unknown_borrows,1
246,benchley-ten-years-quandary,overborrows,2
247,bennett-anna-five-towns,overborrows,2
248,bennett-body-soul-play,overborrows,1
249,bennett-buried-alive,overborrows,3
250,bennett-card-story-adventure,overborrows,1
251,bennett-card-story-adventure,post1942_events,1
252,bennett-card-story-adventure,unknown_borrows,1
253,bennett-clayhanger,overborrows,1
254,bennett-elsie-child-stories,overborrows,1
255,bennett-glimpse-adventure-soul,overborrows,1
256,bennett-helen-high-hand,post1942_events,1
257,bennett-helen-high-hand,unknown_borrows,1
258,bennett-honeymoon-comedy-three,overborrows,1
259,bennett-journals-arnold-bennett,overborrows,2
260,bennett-lillian,overborrows,2
261,bennett-lord-raingo,overborrows,1
262,bennett-lord-raingo,sunday_shopers,1
263,bennett-love-match-play,overborrows,1
264,bennett-man-north,overborrows,1
265,bennett-married-life,overborrows,2
266,bennett-matador-five-towns,overborrows,1
267,bennett-old-wives-tale,overborrows,1
268,bennett-old-wives-tale,post1942_events,1
269,bennett-old-wives-tale,unknown_borrows,1
270,bennett-pretty-lady,overborrows,1
271,bennett-pretty-lady,post1942_events,1
272,bennett-riceyman-steps,overborrows,1
273,bennett-strange-vanguard-fantasia,overborrows,1
274,bennett-things-interested,overborrows,1
275,bennett-things-interested-second,overborrows,1
276,bennett-things-interested-second,sunday_shopers,1
277,bennett-united-states,post1942_events,1
278,bennett-united-states,unknown_borrows,1
279,bennett-woman-stole-everything,overborrows,2
280,bennett-woman-stole-everything,sunday_shopers,1
281,benson-goodbye-stranger,overborrows,1
282,benson-little-world,overborrows,1
283,benson-little-world,unknown_borrows,1
284,benson-pipers-dancer,overborrows,1
285,benson-pull-devil-pull,overborrows,1
286,benson-pull-devil-pull,sunday_shopers,1
287,benson-sentimentalists,overborrows,1
288,benson-tobit-transplanted,overborrows,6
289,benson-tobit-transplanted,post1942_events,1
290,benson-worlds-within-worlds,post1942_events,1
291,bentley-freedom-farewell,overborrows,1
292,bentley-inheritance,overborrows,4
293,bentley-inheritance,sunday_shopers,2
294,bentley-modern-tragedy,overborrows,1
295,bentley-sleep-peace,overborrows,1
296,bentley-trent-intervenes,overborrows,2
297,bentley-trents-case,overborrows,3
298,bentley-whole-story,overborrows,1
299,bentley-whole-story,post1942_events,1
300,beowulf,post1942_events,1
301,bercovici-story-gypsies,unknown_borrows,1
302,beresford-candidate-truth,overborrows,1
303,beresford-imperfect-mother,overborrows,1
304,beresford-imperturbable-duchess-stories,overborrows,1
305,beresford-meeting-place-stories,overborrows,1
306,beresford-peckover,overborrows,1
307,beresford-snells-folly,overborrows,2
308,beresford-unity,overborrows,1
309,berkeley-taken,overborrows,4
310,bernstein-affaire-jones,unknown_borrows,1
311,best-adventure-story,overborrows,3
312,best-crime-stories,unknown_borrows,1
313,best-mystery-stories,overborrows,3
314,bianchi-life-letters-emily,overborrows,1
315,bianchi-life-letters-emily,unknown_borrows,1
316,bibesco-blame,overborrows,1
317,bibesco-katia,overborrows,1
318,bibesco-portrait-caroline,overborrows,2
319,bierce-can-things,overborrows,1
320,biggers-celebrated-cases-charlie,overborrows,2
321,birmingham-majors-candlesticks,overborrows,1
322,biron-memoirs-duc-lauzun,overborrows,1
323,black-goldsmith,overborrows,1
324,blake-blakes-works,overborrows,3
325,blake-blakes-works,sunday_shopers,1
326,blake-blakes-works,unknown_borrows,1
327,blunden-near-far-new,sunday_shopers,1
328,boas-marlowe-circle,overborrows,1
329,boas-short-modern-plays,post1942_events,1
330,boas-short-modern-plays,unknown_borrows,1
331,bojer-god-woman,overborrows,1
332,boleslavski-lances-fires-moscow,overborrows,1
333,borden-action-slander,overborrows,3
334,borden-action-slander,post1942_events,1
335,borden-passport-girl,overborrows,2
336,borrow-celebrated-trials-remarkable,overborrows,1
337,borrow-lavengro-scholar-gypsy,overborrows,1
338,borrow-romano-lavo-lil,overborrows,1
339,borrow-romany-rye,overborrows,1
340,borrow-zincali-account-gypsies,unknown_borrows,1
341,bosanquet-days-attica,overborrows,1
342,boswell-life-samuel-johnson,overborrows,4
343,boswell-shorter-boswell,post1942_events,2
